channelTitle,title,publishedAt,likeCount,dislikeCount,commentCount,viewCount,duration,all_comment
自由時報電子報,余天公投宣講獻唱落淚 蔡英文：12/18台灣隊友站出來,2021-12-11T15:02:04Z,37,8,12,923,PT1M51S,"[{'videoId': 'S4x-5d-agTo', 'textOriginal': '看他在立法院，從來沒看過他在質詢，一出來就哭！不知道哭什麼？可憐！選他是叫專門來哭的，就有錢領了嗎？', 'likeCount': 0, 'publishedAt': '2021-12-11T18:30:25Z'}, {'videoId': 'S4x-5d-agTo', 'textOriginal': '抱歉，錯字，有情有義才對。', 'likeCount': 0, 'publishedAt': '2021-12-11T17:05:46Z'}, {'videoId': 'S4x-5d-agTo', 'textOriginal': '余大哥加油！四大公投再無懸念，皆蓋不同意票！民進黨加油，基進黨加油，台灣加油。', 'likeCount': 1, 'publishedAt': '2021-12-11T16:12:22Z'}, {'videoId': 'S4x-5d-agTo', 'textOriginal': '臺灣驚奇隊長～ 蔡英文 ！穩健強大 臺灣隊友集結ING ！', 'likeCount': 1, 'publishedAt': '2021-12-11T16:00:28Z'}, {'videoId': 'S4x-5d-agTo', 'textOriginal': '臺灣隊友站出來！', 'likeCount': 2, 'publishedAt': '2021-12-11T15:52:25Z'}, {'videoId': 'S4x-5d-agTo', 'textOriginal': '全力支持四個不同意，支持蔡總統加油，支持台灣加油', 'likeCount': 4, 'publishedAt': '2021-12-11T15:30:42Z'}, {'videoId': 'S4x-5d-agTo', 'textOriginal': '台灣  👍👍👍', 'likeCount': 1, 'publishedAt': '2021-12-11T15:24:14Z'}, {'videoId': 'S4x-5d-agTo', 'textOriginal': '附和中共製造台灣動亂,阻擋台灣邁向世界,阻礙台灣進入國際三大市場歐盟、北美、CPTPP,居心叵測、一肚子壞水,遭天譴的中國共產黨、中國國民黨.', 'likeCount': 1, 'publishedAt': '2021-12-11T15:23:52Z'}, {'videoId': 'S4x-5d-agTo', 'textOriginal': '贊成萊豬開放進口。\n理由：\n1：萊牛早已進口，結果又沒怎樣 。美國人自己也吃萊牛萊豬，難道美國人的食安標準差？\n2：反對萊豬開放進口，會阻礙台灣與美國簽FTA .\n3：你不想吃，別人想吃，憑什麼阻止別人？\n當然，萊劑的含量須符合國際標準，甚至更嚴格。\n而且，\n廠商應明確書明產地及萊劑含量（當然最好是零含量啦！），違者重罰。\n😂🤣😅\n\n反對重啟貢寮核四，\n贊成新建蘭嶼核四 。\n（核一核二核三應漸次除役 。）\n😂🤣😅\n\n蘭嶼居民可以遷村，以前宜蘭外海的龜山島及高雄市紅毛港，原本也是有居民的，後來都遷走了。\n當然，遷村條件可以從優；而不願遷村者，可按月發放補助金 。\n😅😆🤣\n\n公投如果要綁大選，\n那選舉和公投就要分開在兩個隣近教室或場所投票，以免大排長龍  。\n如果投完選舉票，不想要投公投票，可以逕自回家  。\n🤣😅😂\n\n台中火力發電廠應增加燃氣機組，一則可減低碳排，二則可改善空污  ，三則可支援北部電力 需求  。\n😂🤣😅\n\n公投除了同意不同意外，應再增一「有條件同意」一項。\n如有條件同意者佔多數，政府應再做民調後，列數案再做一次公投。', 'likeCount': 3, 'publishedAt': '2021-12-11T15:18:49Z'}, {'videoId': 'S4x-5d-agTo', 'textOriginal': '搞笑😂', 'likeCount': 0, 'publishedAt': '2021-12-11T15:17:29Z'}, {'videoId': 'S4x-5d-agTo', 'textOriginal': '大港妳贏...', 'likeCount': 1, 'publishedAt': '2021-12-11T15:14:36Z'}, {'videoId': 'S4x-5d-agTo', 'textOriginal': '鰐魚淚', 'likeCount': 0, 'publishedAt': '2021-12-11T15:13:33Z'}]"
自由時報電子報,呼籲投下4個不同意 銅鑼灣書店店長林榮基：台灣加油,2021-12-11T14:12:18Z,33,2,3,392,PT2M51S,"[{'videoId': '7cVjcdZb8cY', 'textOriginal': '傻傻的香港人，對 台灣了解 很陌生的', 'likeCount': 0, 'publishedAt': '2021-12-11T16:13:53Z'}, {'videoId': '7cVjcdZb8cY', 'textOriginal': '雖然蔡英文有幾個改革完全沒動，但是外交，國防上也算努力。', 'likeCount': 0, 'publishedAt': '2021-12-11T14:57:51Z'}, {'videoId': '7cVjcdZb8cY', 'textOriginal': '全力支持四個不同意，支持蔡總統加油，支持台灣加油', 'likeCount': 5, 'publishedAt': '2021-12-11T14:35:44Z'}]"
自由時報電子報,三接遷建》潘忠政：政府多次可轉彎卻不轉彎 洪申翰回擊 再外推已是最好辦法(畫面提供:中視),2021-12-11T13:50:13Z,9,4,4,622,PT5M47S,"[{'videoId': 'L7NaaRWxrA8', 'textOriginal': '想公開問洪申翰你參加今年COP26格拉斯哥全球氣候峰會場外交流、你現在對天然氣=甲烷和急速擴增甲烷火力發電機組有什麼看法 ?  \n甲烷已被全球氣候峰會超過100國聯署指名為地球急速暖化極端氣候元凶 、五年內全球必需砍30%開採生產使用、朝向全面禁止開採生產天然氣、否則人類正邁向滅絕沒有未來', 'likeCount': 0, 'publishedAt': '2021-12-11T17:06:11Z'}, {'videoId': 'L7NaaRWxrA8', 'textOriginal': '環保撈不要阻礙台灣經濟的發展及北部用電人的需求！', 'likeCount': 0, 'publishedAt': '2021-12-11T15:24:32Z'}, {'videoId': 'L7NaaRWxrA8', 'textOriginal': '解決方案，潘退休老師，還回退休俸，因為潘退休老師是無知就是力量者，或是裝牛逼者。一切行徑只為毀滅台灣國。？', 'likeCount': 0, 'publishedAt': '2021-12-11T15:22:37Z'}, {'videoId': 'L7NaaRWxrA8', 'textOriginal': '支持環保，支持環保，支持環保。中火全力燃媒，科技人出來吠2聲，沒有電半導體離開台灣吧，明天開始，台電公司給環保團體的家庭，全面斷電，讓這群帶著假面具的狗雜碎，嚐嚐什麼叫無電環保。', 'likeCount': 1, 'publishedAt': '2021-12-11T14:02:23Z'}]"
自由時報電子報,蔡英文點名盧秀燕：核四、三接「我們立場不會差太遠」,2021-12-11T11:14:32Z,31,2,6,768,PT2M2S,"[{'videoId': 'CRICFnJh5hc', 'textOriginal': '怎麼第一時間知道總統行程的？\n我總是錯過親眼看到她的機會🤧', 'likeCount': 0, 'publishedAt': '2021-12-11T18:29:19Z'}, {'videoId': 'CRICFnJh5hc', 'textOriginal': '加油💪我們不會在意論文是真是假，也不會管是1.5個博士還是3個博士，我們看中的是您的演技🤣', 'likeCount': 1, 'publishedAt': '2021-12-11T12:37:18Z'}, {'videoId': 'CRICFnJh5hc', 'textOriginal': '台灣加油🇹🇼💕', 'likeCount': 1, 'publishedAt': '2021-12-11T11:47:07Z'}, {'videoId': 'CRICFnJh5hc', 'textOriginal': '不一樣吧！假博土、還要封存30年，天大的笑話，還有臉出來，唬爛！', 'likeCount': 2, 'publishedAt': '2021-12-11T11:40:23Z'}, {'videoId': 'CRICFnJh5hc', 'textOriginal': '塔綠斑，出陣頭~\n恁祖嬤又擱起駕..\n肅靜.迴避!?🤭', 'likeCount': 2, 'publishedAt': '2021-12-11T11:23:59Z'}, {'videoId': 'CRICFnJh5hc', 'textOriginal': '👍👏', 'likeCount': 3, 'publishedAt': '2021-12-11T11:16:55Z'}]"
自由時報電子報,公投說明會藍營大咖齊聚 馬英九嗆蔡英文：「不要做夢」,2021-12-11T11:00:53Z,3,3,5,192,PT3M11S,"[{'videoId': '4Px1BGGvt1w', 'textOriginal': '台灣國家，開始邁向國際貿易!怎那仕途老馬賣國賊用(不要做夢？)，原來國民黨計畫，申共搶劫台灣國美元外匯存底？中共真的搶劫香港美元外匯存底40OO億美元。台灣國人民絕對不同意國民黨計畫的，將台灣國美元外匯存底，世界排名第四，(勝過印度，中共)讓中共搶。台灣國，人民是主人，人人皆有義務投四個\ue030同意。？', 'likeCount': 0, 'publishedAt': '2021-12-11T14:32:03Z'}, {'videoId': '4Px1BGGvt1w', 'textOriginal': '👎👎👎👎👎👎👎', 'likeCount': 3, 'publishedAt': '2021-12-11T11:31:18Z'}, {'videoId': '4Px1BGGvt1w', 'textOriginal': '這群人睜眼說瞎話，就想讓台灣倒退來獲取政治利益!', 'likeCount': 5, 'publishedAt': '2021-12-11T11:19:31Z'}, {'videoId': '4Px1BGGvt1w', 'textOriginal': '12月18日：四個不同意！\n不讓中國黨繼續亂下去！ \n\n中國國民黨立法委員葉毓蘭，已成為顏氏團伙圍事！\n地方惡霸、貪婪成性、道德低劣的顏氏團伙！\n顏寬恒撒謊、白賊：\n開賭博電玩店！\n毒害、殘害青少年！\n害人家破人亡、妻離子散！\n\n中二選區1月9日：回家！\n一起跟家人大掃除！ \n洗刷多年污垢！ \n\n顏氏父子有夠黑、有夠惡、有夠髒！\n四處霸佔！\n霸佔公園兒童遊樂園用地！\n霸佔法拍屋！\n霸佔碼頭、霸佔倉儲！\n霸佔原住民土地！\n\n原住民同胞們：\n不要再投票給中國國民黨啦！\n\n父到處欠錢不還，脱產給子！\n子的財產數十億！\n\n綁架大甲鎮瀾宮媽祖！\n顏氏父子是中共宗教統戰走狗！\n顏氏綁架媽祖砸錢兩百億到中國天津！\n顏寬恆推動中國身心失能者，來台用健保！', 'likeCount': 0, 'publishedAt': '2021-12-11T11:07:35Z'}]"
自由時報電子報,LIVE - 第20案「珍愛藻礁」公投意見發表會(公視提供畫面),2021-12-11T09:54:09Z,14,3,0,712,PT50M51S,[]
自由時報電子報,再多2例Omicron！自英、美返台 完整接種BNT也遭感染 (指揮中心提供),2021-12-11T09:50:10Z,10,0,0,1081,PT2M16S,[]
自由時報電子報,今年度國營預算10日才通過 游錫堃再致歉：立院應如期完成任務,2021-12-11T09:16:39Z,3,1,2,154,PT2M36S,"[{'videoId': 'bmyd-FtJV6Q', 'textOriginal': '🤣我們都知道委員比較忙，應酬多，還要抽時間服務網路金融公司“林”董事長，拍照留念。雖然沒完成立院法案KPI，但讓我們知道很多委員的努力，也算一個成績了。', 'likeCount': 0, 'publishedAt': '2021-12-11T12:42:24Z'}, {'videoId': 'bmyd-FtJV6Q', 'textOriginal': '四個都同意，人民更有力！\n騙東騙西唬爛嘴，\n假龜假怪雄豪肖，\n邁擱騙台灣人民，\n貪污腐敗泯盡黨。', 'likeCount': 1, 'publishedAt': '2021-12-11T09:18:45Z'}]"
自由時報電子報,中研院女助理感染Delta 確認實驗室病毒外洩傳染,2021-12-11T08:57:25Z,5,0,2,384,PT4M39S,"[{'videoId': 'fLrhP7R3CNM', 'textOriginal': '為何外洩沒有繼續往上通報！該罰！掩蓋病毒外洩事實！每人判罰30萬～然後再關個90天', 'likeCount': 0, 'publishedAt': '2021-12-11T10:31:58Z'}, {'videoId': 'fLrhP7R3CNM', 'textOriginal': '應該究責。', 'likeCount': 2, 'publishedAt': '2021-12-11T09:16:35Z'}]"
自由時報電子報,LIVE - 第19案「公投綁大選」公投意見發表會（公視提供畫面）,2021-12-11T07:55:05Z,5,0,0,185,PT51M21S,[]
